topic_id,选题标题,选题标题中文翻译,原始链接,来源,来源等级,栏目,主线,发布时间,发现日期,AI摘要,AI摘要中文翻译,用户价值,可靠性评分,传播性评分,实用性评分,事实核验,实测状态,发布状态,草稿路径,复盘结论
T20260625-001,Learning Action Priors for Cross-embodiment Robot Manipulation,跨形态机器人操作的动作先验学习,http://arxiv.org/abs/2606.26095v1,arXiv,S,论文变应用,热点,2026-06-24T17:59:56Z,2026-06-25,"Most Vision-Language-Action (VLA) models build on a Vision-Language Model (VLM) backbone by attaching an action module and optimizing the full policy jointly. This design inherits strong visual and linguistic priors from the VLM, but leaves the action module to learn physical motion almost from scratch. As a result, the policy lacks an explicit motion prior, forcing early optimization to simultaneously discover temporal action dynamics and cross-modal alignment, a challenge further amplified in cross-embodiment settings. In this work, we propose to pretrain the action module with motion priors before cross-modal VLA alignment. Specifically, we introduce a two-stage training framework that equips the action module with cross-embodiment temporal motion structure before VLA training begins. In Stage~1, a lightweight flow-matching-based encoder-decoder action module efficiently learns temporal motion structure solely from unconditioned action trajectories, without processing visual or language tokens. In Stage~2, this learned prior is transferred to VLA training through decoder reuse and early-stage latent distillation, aligning visual-language features with the action embedding space while still allowing end-to-end policy refinement. In addition, the trained encoder serves as a compact history compressor, summarizing state-action histories into a single temporal context token for history-aware modeling at negligible cost. Extensive experiments across 13 diverse cross-embodiment tasks on both simulated and real-world platforms validate the effectiveness of our approach. Compared with VLA training without action priors, our model achieves faster convergence, higher success rates, and substantially stronger performance on data-scarce real-world tasks. Moreover, scaling up the action data in Stage~1 yields a more generalizable action prior that directly improves downstream VLA performance.",多数视觉-语言-动作模型会在视觉语言模型上添加动作模块并联合训练，但动作模块缺少明确的运动先验。该论文提出先用跨形态动作轨迹预训练动作模块，再进行视觉语言动作对齐，从而提升收敛速度、成功率和数据稀缺任务表现。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-002,RevengeBench: Reverse Engineering Code-Space Policies from Behavioral Experiments,RevengeBench：从行为实验中逆向工程代码空间策略,http://arxiv.org/abs/2606.26094v1,arXiv,S,论文变应用,热点,2026-06-24T17:59:46Z,2026-06-25,"For most of scientific history, researchers studying behavior could only infer hidden mechanisms from outward actions: an inverse problem that becomes more tractable when observation is augmented by targeted intervention. We pose a computational analogue: given only behavioral traces of an agent in a game environment, can a learner reconstruct the underlying decision program as executable code, and how much does this reconstruction improve with the ability to design controlled experiments? We introduce RevengeBench, a benchmark of 75 LLM generated, Elo-calibrated policies across five game environments, drawn from CodeClash tournament trajectories. The learner observes the hidden target policy play against sampled opponents and designs behavioral probes in the form of custom opponent policies that elicit informative behavior. It then submits an executable hypothesis, which is evaluated using continuous action-distance metrics. We further validate that recovered code carries informative signal in downstream player-versus-player tournaments. Across twelve frontier LLMs, recovery quality varies substantially (34 to 72% of initial distance closed), with reconstructed policies yielding measurable competitive advantage, particularly for weaker models that otherwise struggle to design effective counter-strategies. Our benchmark positions behavioral recovery of programmatic policies as a tractable inverse problem in code-space, opening a path to opponent modeling, policy interpretability, and the broader question of inferring latent mechanisms from observations.",该论文提出 RevengeBench，用于测试模型能否只根据智能体在游戏中的行为轨迹，反推出其底层决策程序。研究显示，不同前沿 LLM 的策略恢复能力差异明显，这对对手建模、策略解释和从行为推断隐藏机制有参考价值。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-003,On-Policy Self-Distillation with Sampled Demonstrations Reduces Output Diversity,使用采样示范的在线自蒸馏会降低输出多样性,http://arxiv.org/abs/2606.26091v1,arXiv,S,论文变应用,热点,2026-06-24T17:59:02Z,2026-06-25,"On-policy self-distillation achieves strong pass@1 accuracy by using a single model as both teacher and student, with the teacher conditioned on a correct demonstration to provide dense token-level feedback. We show that this could come at a hidden cost: rollout diversity decreases and pass@k curves flatten (i.e., generating more rollouts fails to improve accuracy). We trace this to compounding biases in the design of self-distillation with sampled demonstrations. The teacher scores each student rollout while conditioned on a sampled correct rollout, channeling its feedback through the model's own biases. We theoretically analyze the optimal self-distillation policy and show that it tilts the base distribution by a pointwise conditional mutual information score between the student's rollout and the correct rollout used as context. Unlike the ideal optimal on-policy reinforcement learning (RL), which preserves probability ratios among equally correct rollouts, self-distillation can amplify existing probability gaps, concentrating mass on already-dominant modes. On a controlled graph path-finding task and science question-answering benchmarks, self-distilled models match or exceed RL on average performance but exhibit substantially lower functional and semantic diversity, failing on out-of-distribution settings that require diverse strategies.",该论文指出，在线自蒸馏虽然能提升 pass@1 准确率，但可能降低输出多样性，使多次采样带来的收益变小。原因在于示范条件下的教师反馈会放大模型原有偏好，让输出集中到少数模式上。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-004,Real-Time Voice AI Hears but Does Not Listen,实时语音 AI 听见了，但没有真正倾听,http://arxiv.org/abs/2606.26083v1,arXiv,S,论文变应用,热点,2026-06-24T17:55:38Z,2026-06-25,"Speech conveys information through both words and vocal delivery. We evaluate four leading production realtime voice systems-OpenAI's GPT Realtime 2, Google's Gemini 3.1 Flash Live, and Alibaba's Qwen3.5 Omni Plus and Omni Flash-on tasks where the words and the delivery patterns both convey meaningful information. Across three consequential scenarios, all four systems act on the words rather than the voice. They end calls with crying callers who insist nothing is wrong, approve wire transfers authorized in frightened voices, and enroll callers whose agreement is clearly sarcastic. Surprisingly, this is often not a failure of perception. When asked directly, three of the four systems reliably identify the distress, fear, or sarcasm they later ignore when making decisions. We observe a similar pattern when these realtime voice systems estimate accent and age, as their responses frequently follow the biases of the words rather than the acoustic properties of the speaker. We term this disconnect between perception and action the emotional intelligence gap of voice AI. Prompting systems to explicitly attend to vocal delivery improves performance only partially and inconsistently. Our findings show that current realtime voice AI systems often behave as if speech had been reduced to a transcript, suggesting that they should be used with caution in settings where the tone and emotion of delivery convey important information.",该论文评估多个生产级实时语音 AI 系统，发现它们在一些场景中能识别哭腔、恐惧或讽刺，却在决策时仍主要依赖文字内容。论文把这种感知和行动之间的脱节称为语音 AI 的情绪智能缺口。,适合拆成论文变应用或技术趋势判断。,5,3,3,已核验,不需要,待发布,drafts/xhs_2026-06-25_realtime-voice-ai.md,已生成事实核验和 7 页图文草稿
T20260625-005,Neglected Free Lunch from Post-training: Progress Advantage for LLM Agents,后训练中被忽视的免费收益：LLM Agent 的进展优势,http://arxiv.org/abs/2606.26080v1,arXiv,S,论文变应用,热点,2026-06-24T17:54:08Z,2026-06-25,"Process reward models enable fine-grained, step-level evaluation of LLMs, yet building them for agentic settings remains prohibitively difficult: long-horizon interactions, irreversible actions, and stochastic environment feedback make both human annotation and Monte Carlo estimation infeasible at scale. In this work, we show that reinforcement learning (RL) post-training already provides the ingredients for effective step-level scoring, eliminating the need for dedicated reward model training altogether. Concretely, we derive an implicit advantage under a general stochastic Markov decision process, which we term progress advantage -- log-probability ratio between the RL-trained policy and its reference policy exactly recovers the optimal advantage function. This formulation makes the resulting signal annotation-free, domain-agnostic, and available as a byproduct of the standard RL post-training pipeline. We validate the effectiveness of the progress advantage across three different applications: test-time scaling, uncertainty quantification, and failure attribution on five benchmarks and four model families. Across all settings, it consistently outperforms confidence-based baselines and, despite requiring no task-specific training, surpasses dedicated trained reward models. We complement these results with deeper analyses on characteristics of progress advantage, offering practical guidance for adoption in real-world agentic systems.",该论文认为，LLM Agent 的强化学习后训练过程本身可以提供步骤级评分信号，不一定需要额外训练过程奖励模型。作者提出 progress advantage，用于测试时扩展、不确定性估计和失败归因等任务。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-006,"Same Evidence, Different Answer: Auditing Order Sensitivity in Multimodal Large Language Models",相同证据，不同答案：审计多模态大模型的顺序敏感性,http://arxiv.org/abs/2606.26079v1,arXiv,S,论文变应用,热点,2026-06-24T17:53:26Z,2026-06-25,"Standard benchmarks for multimodal large language models (MLLMs) score each item on one canonical ordering and miss whether order-irrelevant shuffling changes the answer, a baseline reliability property called for by emerging AI evaluation guidelines. We introduce Facet-Probe, a five-facet audit (option, evidence-chunk, document-rank, image-set, and mixed-modality ordering) of 18 frontier and open-weight MLLMs. A Bayesian item-response model separates ordering noise from per-facet bias, and a same-ordering control estimates the decoder-stochastic floor for observed flips. We find that none of the 18 MLLMs we audit are order-invariant: screened per-facet panel-mean flip rates span 24-50%. A Gemini same-ordering control at temperature 0 estimates a substantial ordering excess over a same-input decoder-noise floor in verified cells. Capability predicts but does not eliminate flips; the best model still flips on 13.4% of trials. In our Gemini mitigation tests, training-free prompt changes are modality-conditional and do not transfer from text to visual reasoning. These results suggest that prompt-level mitigation alone is unlikely to provide general order robustness, motivating future work on training-time and architectural approaches. We propose cross-ordering flip rate as a standard reporting axis for MLLMs.",该论文审计 18 个前沿和开源多模态大模型，发现即使证据相同，只要选项、证据片段、文档排序或图像顺序变化，模型答案也可能发生明显翻转。论文建议把跨顺序翻转率作为多模态模型可靠性的报告指标。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-007,A cross-process welding penetration status prediction algorithm based on unsupervised domain adaptation in laser and TIG welding,基于无监督领域自适应的激光和 TIG 焊接跨工艺熔深状态预测算法,http://arxiv.org/abs/2606.26078v1,arXiv,S,论文变应用,热点,2026-06-24T17:52:57Z,2026-06-25,"Supervised deep learning has been widely used for weld penetration state classification; however, its performance often degrades significantly under domain shift, such as when transferring models between welding processes with distinct physical mechanisms:for instance, from arc-dominated tungsten inert gas (TIG) welding to keyhole-based laser welding. To overcome this limitation, we propose an unsupervised domain adaptation (UDA) framework integrated with a gradual source domain expansion (GSDE) strategy. Evaluated on dedicated TIG and laser welding datasets, our approach achieves high accuracy in both same-process and cross-process transfer tasks. Specifically, it attains average accuracies of 90.65% on TIGFH and 90.72% on LSPS in same-process settings, surpassing a supervised baseline by 35.83% and 38.87%, respectively. More notably, in cross-process scenarios, it reaches 80.48% for TIG to Laser and 81.13% for Laser to TIG, improving upon the baseline by 43.39% and 43.40%. UMAP visualizations verify that the model learns domain-invariant features while maintaining discriminative class boundaries. This method considerably lowers the relabeling cost for new welding processes and enhances the versatility of intelligent monitoring across different welding systems.",该论文研究焊接场景中的跨工艺熔深状态预测，提出结合无监督领域自适应和渐进源域扩展的方法，用于降低不同焊接工艺之间的数据分布差异，提高跨工艺迁移效果。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-008,Model Forensics: Investigating Whether Concerning Behavior Reflects Misalignment,模型取证：调查令人担忧的行为是否反映模型失准,http://arxiv.org/abs/2606.26071v1,arXiv,S,论文变应用,热点,2026-06-24T17:45:47Z,2026-06-25,"A central goal of safety research is determining whether a model is misaligned. Prior work has largely focused on detecting concerning behavior. But behavior alone does not establish misalignment: a concerning action can arise from benign causes such as confusion. This motivates model forensics: investigating whether the action was driven by malign intent. In this paper, we propose a baseline protocol for model forensics consisting of two steps, iterated as needed. First, we read the chain of thought (CoT) to generate hypotheses about what drives model behavior. Second, we make edits to the prompt or environment to test these hypotheses. While the CoT is not always faithful, it is a rich source of unsupervised insight that can guide the collection of more rigorous evidence. To evaluate our protocol, we create a suite of six agentic environments where models exhibit concerning behavior, and apply it to each. We establish that Kimi K2 Thinking takes shortcuts due to a genuine disposition towards low-effort actions, by showing this hypothesis successfully predicts its behavior. Through counterfactual experiments, we show DeepSeek R1 deceives out of a desire to be consistent with a previous instance of itself. Our methods nonetheless leave significant room for refinement. For example, when we test whether Kimi K2 Thinking believes it is violating user intent, we find no evidence of such a belief, but without positive controls we cannot confirm our tests would detect it. Overall, we find our simple protocol provides a strong baseline that we hope future work will improve upon. More broadly, our work is a concrete step in developing the growing field of model forensics.",该论文讨论模型取证：当模型出现令人担忧的行为时，不能只看行为本身，还要调查其是否源于失准意图、混淆或其他原因。作者提出读取思维链并通过反事实环境修改来验证假设的基线流程。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-009,When Certainty Is an Artifact: Keyword Lexicon Blindness and the (Mis)Measurement of Rhetorical Stance,当确定性只是测量假象：关键词词典盲区与修辞立场误测,http://arxiv.org/abs/2606.26062v1,arXiv,S,论文变应用,热点,2026-06-24T17:36:39Z,2026-06-25,"Can a statistically significant, large-effect-size finding in computational social science be entirely an artifact of the measurement instrument? We present a case where the answer appears to be yes. Analyzing 85 interviews across four public intellectuals (2016--2026), we find a robust negative-affect/emphatic-certainty lexical co-occurrence pattern under keyword-based scoring ($r = 0.72$--$0.93$, $p &lt; 0.01$ for all four speakers). Replacing keyword counting with LLM-based zero-shot semantic classification on the complete diarized corpus (32,625 sentences) dramatically reduces this correlation: Dalio's $r = 0.851$ drops to $r = 0.206$, with two speakers showing negative $r(\text{neg}, \text{emphatic})$ and one showing null. In contrast, the LLM reveals a strong negative-hedging coupling across speakers -- Rogoff's $r(\text{neg}, \text{hedged}) = 0.875$ ($p = 0.001$) and Zeihan's $r(\text{neg}, \text{hedged}) = 0.722$ ($p = 0.008$) -- consistent with the conventional expectation that pessimistic discourse attracts hedging, not certainty. Sentence-level error analysis traces this discrepancy to three structural failure modes in keyword lexicons -- syntactic blindness, polysemy blindness, and categorical absence -- illustrated through cases where keyword counting inverts semantic meaning (e.g., ''never absolutely totally confident'' scored as high-certainty). We argue that keyword lexicons measure a universal lexical co-occurrence tendency -- negative discourse naturally attracts emphatic vocabulary -- that is orthogonal to, and can systematically invert, rhetorical stance. Treating keyword counts as measurements of epistemic certainty is a category error: a finding that appears to be about a speaker's psychology may be entirely about the counting of words.",该论文指出，在计算社会科学中，关键词词典可能把负面表达和强调词的共现误当成确定性立场。用 LLM 做语义分类后，原有相关性大幅下降，说明一些看似显著的结论可能来自测量工具偏差。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-010,A welding penetration prediction model for laser welding process based on self-supervised learning using physics-informed neural networks,基于物理信息神经网络自监督学习的激光焊接熔深预测模型,http://arxiv.org/abs/2606.26059v1,arXiv,S,论文变应用,热点,2026-06-24T17:33:41Z,2026-06-25,"The laser welding full-penetration is of critical importance, as it constitutes one of the fundamental factors in achieving defect-free welded joints. Accurate prediction of the penetration state is therefore essential for ensuring weld quality. To this end, this paper introduces SimPhysNet, a novel algorithm that achieves high classification accuracy in laser welding penetration prediction using only a limited number of labelled images. This approach effectively overcomes the limitations of supervised learning classification algorithms, which are hindered in industrial applications by their dependence on extensive, high-quality labelled data. The core of SimPhysNet is a unique self-supervised learning paradigm that embeds physical priors into a contrastive learning framework. By incorporating a physics-informed neural network (PINN), the model is guided to extract physically meaningful features of the molten pool and keyhole from a large set of unlabelled data, while three image augmentation tasks further enhance its generalization capabilities. Subsequently, a few-shot learning strategy, based on prototypical networks, enables robust classification by constructing class representations from a minimal set of labelled images. Experimental results demonstrate that SimPhysNet achieves a classification accuracy of 96.06% using only 200 labelled images (approximately 5% of the total labelled dataset), which is comparable to the performance of conventional supervised learning algorithms that utilize the entire labelled dataset. This work presents a new, efficient, and highly accurate method, providing the way for the intelligent automation of laser welding.",该论文提出 SimPhysNet，用物理信息神经网络和自监督学习来预测激光焊接熔深状态。方法在少量标注数据下达到较高分类准确率，适合解释为工业 AI 中小样本和物理先验结合的案例。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260625-011,benchflow-ai/awesome-evals,benchflow-ai/awesome-evals：AI Agent 评测资源合集,https://github.com/benchflow-ai/awesome-evals,GitHub,S,开源项目拆解,开源,2026-06-24T08:10:33Z,2026-06-25,"A curated, non-BS library of the best resources for building and evaluating AI agents — papers, blogs, talks, tools, benchmarks. Maintained by BenchFlow.",这是一个 AI Agent 评测资源合集，收集构建和评估 AI Agent 所需的论文、博客、演讲、工具和基准。适合做开源项目拆解或 AI Agent 评测资料清单。,适合拆解项目用途、上手难度和适用人群。,5,3,3,待核验,不需要,候选,,
T20260625-012,trending,Hugging Face 论文趋势页,https://huggingface.co/papers/trending,Hugging Face,S,论文变应用,热点,2026-06-25T13:44:08.583Z,2026-06-25,Hugging Face Daily Papers candidate.,这是 Hugging Face 的论文趋势入口，用于发现近期社区关注度较高的论文。需要进一步打开具体论文页面，确认题目、摘要、代码和可应用场景。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260625-013,2026-06-24,,https://huggingface.co/papers/date/2026-06-24,Hugging Face,S,论文变应用,热点,2026-06-25T13:44:08.583Z,2026-06-25,Hugging Face Daily Papers candidate.,这是 Hugging Face 某日的每日论文列表入口，用于按日期发现新论文。需要进一步筛选具体论文，不能直接作为发布事实。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260625-014,2606.24775,,https://huggingface.co/papers/2606.24775,Hugging Face,S,论文变应用,热点,2026-06-25T13:44:08.583Z,2026-06-25,Hugging Face Daily Papers candidate.,这是 Hugging Face 上的具体论文线索，需要打开页面确认论文题目、摘要、作者和原始 arXiv 链接后，再判断是否适合做论文变应用。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260625-015,2606.26058,,https://huggingface.co/papers/2606.26058,Hugging Face,S,论文变应用,热点,2026-06-25T13:44:08.583Z,2026-06-25,Hugging Face Daily Papers candidate.,这是 Hugging Face 上的具体论文线索，需要打开页面确认论文题目、摘要、作者和原始 arXiv 链接后，再判断是否适合做论文变应用。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260625-016,Newsroom \ Anthropic,Anthropic 新闻中心,https://www.anthropic.com/news,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:16.375Z,2026-06-25,Configured source candidate.,这是 Anthropic 官方新闻中心入口，用于发现 Claude、模型安全、产品功能和公司动态。需要打开具体新闻条目确认发布时间和细节。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-017,News — Google DeepMind,Google DeepMind 新闻与博客,https://deepmind.google/discover/blog/,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:19.550Z,2026-06-25,Configured source candidate.,这是 Google DeepMind 官方新闻与博客入口，用于发现 Gemini、DeepMind 研究和产品进展。需要打开具体文章确认内容。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-018,AI at Meta Blog,Meta AI 博客,https://ai.meta.com/blog/,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:21.940Z,2026-06-25,Configured source candidate.,这是 Meta AI 官方博客入口，用于发现 Llama、开源模型、研究和产品动态。需要打开具体文章确认内容。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-019,AI - Source,Microsoft AI 资讯源,https://blogs.microsoft.com/ai/,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:24.391Z,2026-06-25,Configured source candidate.,这是 Microsoft AI 资讯入口，用于发现 Copilot、企业 AI 和 Microsoft AI 产品动态。需要打开具体文章确认内容。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-020,cs.CL updates on arXiv.org,arXiv cs.CL 更新,https://export.arxiv.org/rss/cs.CL,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:25.518Z,2026-06-25,Configured source candidate.,这是 arXiv 计算语言学分类的更新入口，用于发现 NLP、LLM 和语言技术相关论文。需要筛选具体论文后再发布。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-021,cs.AI updates on arXiv.org,arXiv cs.AI 更新,https://export.arxiv.org/rss/cs.AI,Configured RSS/Web,S,今日值得看,热点,2026-06-25T14:01:11.857Z,2026-06-25,Configured source candidate.,这是 arXiv 人工智能分类的更新入口，用于发现 AI 总类相关论文。需要筛选具体论文后再发布。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
